"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18765","카테고리 정상 노출 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13150","거래 증빙 서류 신청/조회 확인","","2026-07-01","passed","2026-07-01","","","",""
"","11","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13694","최근 본 상품 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13611","상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14142","상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-01","failed","2026-07-01","","","",""
"","21443","상품 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","2942","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13138","장바구니 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19558","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14281","상품 > 상품평 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13492","혜택 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13486","취소/교환/반품 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13696","좋아요 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13632","상품평 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13672","공지 사항 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12507","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15409","검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","40929","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-01","failed","2026-07-01","","","",""
"","6209","알파포인트 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13005","주문 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","4","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13129","ON AIR > VOD 영상 재생 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13132","연락처 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20597","GNB 메뉴별 화면 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16823","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13204","자주하는 질문 확인","","2026-07-01","passed","2026-07-01","","","",""
"","33857","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","7529","선물 메시지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","46331","일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12942","이용권등록 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13711","배송지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19409","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","5","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","7336","상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14489","상품 > 상품문의 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13239","잔액형 상품권 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13171","1:1 문의하기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13419","방송 알림 설정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","24931","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","4","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-01","failed","2026-07-01","","","",""
"","41154","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","28235","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","27329","회원 정보 수정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13196","간편 로그인 연결 확인","","2026-07-01","passed","2026-07-01","","","",""
"","4","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-01","failed","2026-07-01","","","",""
"","8","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","5","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","12849","기프티쇼 선물함 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13271","환불 계좌 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","26535","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13207","문의 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","25063","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
