"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14002","1:1 문의하기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13763","잔액형 상품권 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13256","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21214","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","7191","자주하는 질문 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13802","공지 사항 확인","","2026-07-01","passed","2026-07-01","","","",""
"","31766","카테고리 정상 노출 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15279","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","26846","ON AIR > VOD 영상 재생 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13355","환불 계좌 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22089","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15237","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17267","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13052","이용권등록 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12145","상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19541","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22482","상품 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","41617","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20499","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13073","기프티쇼 선물함 확인","","2026-07-01","passed","2026-07-01","","","",""
"","7405","상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15360","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13764","방송 알림 설정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12597","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","34906","회원 정보 수정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","201","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14453","상품 > 상품문의 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6499","문의 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","158","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13617","취소/교환/반품 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16447","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13585","간편 로그인 연결 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13074","선물 메시지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20314","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15393","상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6405","검색 후 상품 상세 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","19502","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6858","주문 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","43011","일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14236","혜택 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13681","상품평 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17218","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13933","거래 증빙 서류 신청/조회 확인","","2026-07-01","passed","2026-07-01","","","",""
"","1259","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20003","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9795","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20173","GNB 메뉴별 화면 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13640","연락처 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","7373","장바구니 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14265","배송지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14165","최근 본 상품 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14343","상품 > 상품평 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13890","좋아요 확인","","2026-07-01","passed","2026-07-01","","","",""
"","421","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9784","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13369","알파포인트 확인","","2026-07-01","passed","2026-07-01","","","",""
"","11910","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-01","passed","2026-07-01","","","",""
