"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9259","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-06-30","passed","2026-06-30","","","",""
"","20073","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-06-30","passed","2026-06-30","","","",""
"","7345","배송지 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6292","기프티쇼 선물함 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14105","상품 > 상세정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","21817","기프티쇼 카테고리 및 필터 기능 확인","","2026-06-30","passed","2026-06-30","","","",""
"","493","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13606","ON AIR > VOD 영상 재생 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13802","상품 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6358","주문 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6657","취소/교환/반품 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6512","이용권등록 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6472","환불 계좌 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","9934","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","1534","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15272","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","41528","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-06-30","passed","2026-06-30","","","",""
"","16680","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","5679","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13343","연락처 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14325","상품 > 상품평 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13193","방송 알림 설정 확인","","2026-06-30","passed","2026-06-30","","","",""
"","8426","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","11877","상품 > 좋아요 추가 및 삭제 확인","","2026-06-30","passed","2026-06-30","","","",""
"","211","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","46022","일반 계정 로그인 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6042","문의 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","33916","회원 정보 수정 확인","","2026-06-30","passed","2026-06-30","","","",""
"","12977","혜택 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","16156","상품 > 장바구니 상품 추가 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13145","알파포인트 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6535","선물 메시지 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14368","상품 > 상품문의 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","174","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15414","검색 후 상품 상세 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","18798","카테고리 정상 노출 및 필터 기능 확인","","2026-06-30","passed","2026-06-30","","","",""
"","20720","GNB 메뉴별 화면 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6324","거래 증빙 서류 신청/조회 확인","","2026-06-30","passed","2026-06-30","","","",""
"","21659","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6749","상품평 확인","","2026-06-30","passed","2026-06-30","","","",""
"","16719","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-06-30","passed","2026-06-30","","","",""
"","8731","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6100","잔액형 상품권 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6736","최근 본 상품 확인","","2026-06-30","passed","2026-06-30","","","",""
"","17221","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6250","1:1 문의하기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13250","공지 사항 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13101","상품 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","17761","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","27115","좋아요 확인","","2026-06-30","failed","2026-06-30","","","",""
"","15981","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","12972","간편 로그인 연결 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15695","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13510","자주하는 질문 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15247","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","12845","장바구니 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14173","상품 > 구매정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
