"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","연락처 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","40973","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-02","passed","2026-07-02","","","",""
"","940","알파포인트 확인","","2026-07-02","passed","2026-07-02","","","",""
"","11303","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","46878","일반 계정 로그인 확인","","2026-07-02","passed","2026-07-02","","","",""
"","13022","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-02","passed","2026-07-02","","","",""
"","18763","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","33176","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","failed","2026-07-02","","","",""
"","16386","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","846","간편 로그인 연결 확인","","2026-07-02","passed","2026-07-02","","","",""
"","805","기프티쇼 선물함 확인","","2026-07-02","passed","2026-07-02","","","",""
"","21840","회원 정보 수정 확인","","2026-07-02","passed","2026-07-02","","","",""
"","12934","상품 > 상품문의 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","18386","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","8651","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","14591","검색 후 상품 상세 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","14613","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","887","방송 알림 설정 확인","","2026-07-02","passed","2026-07-02","","","",""
"","933","자주하는 질문 확인","","2026-07-02","passed","2026-07-02","","","",""
"","391","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","903","이용권등록 확인","","2026-07-02","passed","2026-07-02","","","",""
"","14265","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","12589","ON AIR > VOD 영상 재생 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1630","상품평 확인","","2026-07-02","passed","2026-07-02","","","",""
"","49408","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","failed","2026-07-02","","","",""
"","13953","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","20530","상품 > 장바구니 상품 추가 확인","","2026-07-02","passed","2026-07-02","","","",""
"","231","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-02","passed","2026-07-02","","","",""
"","12912","상품 > 상품평 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","755","거래 증빙 서류 신청/조회 확인","","2026-07-02","passed","2026-07-02","","","",""
"","19421","GNB 메뉴별 화면 확인","","2026-07-02","passed","2026-07-02","","","",""
"","6085","상품 > 구매정보 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","11274","상품 > 좋아요 추가 및 삭제 확인","","2026-07-02","passed","2026-07-02","","","",""
"","14088","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-02","passed","2026-07-02","","","",""
"","13579","상품 > 상세정보 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","804","선물 메시지 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1117","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1420","배송지 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","862","1:1 문의하기 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1382","취소/교환/반품 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","19532","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","782","잔액형 상품권 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","930","공지 사항 확인","","2026-07-02","passed","2026-07-02","","","",""
"","12935","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-02","passed","2026-07-02","","","",""
"","18698","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","17381","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1550","좋아요 확인","","2026-07-02","passed","2026-07-02","","","",""
"","17940","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-02","passed","2026-07-02","","","",""
"","870","문의 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","953","최근 본 상품 확인","","2026-07-02","passed","2026-07-02","","","",""
"","960","혜택 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","5633","주문 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","829","환불 계좌 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1454","장바구니 확인","","2026-07-02","passed","2026-07-02","","","",""
"","15479","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-02","passed","2026-07-02","","","",""
"","188","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-02","passed","2026-07-02","","","",""
"","17766","카테고리 정상 노출 및 필터 기능 확인","","2026-07-02","passed","2026-07-02","","","",""
