"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25001","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","991","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","40718","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","18702","카테고리 정상 노출 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","28049","회원 정보 수정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","47100","일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13691","상품평 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6283","주문 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6493","혜택 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13728","잔액형 상품권 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13469","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13472","공지 사항 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14346","상품 > 상품평 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14241","상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19363","상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9304","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21010","GNB 메뉴별 화면 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13541","장바구니 확인","","2026-07-01","passed","2026-07-01","","","",""
"","38337","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13158","선물 메시지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14251","상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13401","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6781","ON AIR > VOD 영상 재생 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12790","좋아요 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13282","배송지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17192","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21948","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9926","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","11542","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15276","검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","41702","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","165","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13019","기프티쇼 선물함 확인","","2026-07-01","passed","2026-07-01","","","",""
"","27904","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13643","자주하는 질문 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13817","간편 로그인 연결 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12434","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","18439","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","302","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","11559","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","25653","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15867","상품 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13251","1:1 문의하기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13103","문의 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14025","방송 알림 설정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14375","상품 > 상품문의 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6744","최근 본 상품 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17069","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22236","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6297","거래 증빙 서류 신청/조회 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13076","이용권등록 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12986","환불 계좌 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","37283","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13456","연락처 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13756","취소/교환/반품 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14186","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14544","알파포인트 확인","","2026-07-01","passed","2026-07-01","","","",""
