"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19651","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12131","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9860","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","43800","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","89761","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","15503","검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22463","상품 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13188","알파포인트 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14083","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13206","공지 사항 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13410","취소/교환/반품 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13170","자주하는 질문 확인","","2026-07-01","passed","2026-07-01","","","",""
"","189","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14088","상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14732","좋아요 확인","","2026-07-01","passed","2026-07-01","","","",""
"","10428","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13362","ON AIR > VOD 영상 재생 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13065","연락처 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","7479","상품평 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13629","잔액형 상품권 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","14623","환불 계좌 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13015","최근 본 상품 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6605","주문 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12910","이용권등록 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13987","상품 > 상품평 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","1840","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6951","장바구니 확인","","2026-07-01","passed","2026-07-01","","","",""
"","10695","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16293","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-01","passed","2026-07-01","","","",""
"","83","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","96143","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","13676","선물 메시지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","96044","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
"","2058","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","failed","2026-07-01","","","",""
"","21022","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12041","카테고리 정상 노출 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17320","상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","9649","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13064","문의 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13876","배송지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13001","혜택 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19307","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13901","상품 > 상품문의 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13697","거래 증빙 서류 신청/조회 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13050","기프티쇼 선물함 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13991","상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","33897","회원 정보 수정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15152","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","48165","일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13652","1:1 문의하기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22116","GNB 메뉴별 화면 확인","","2026-07-01","passed","2026-07-01","","","",""
"","410","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12964","간편 로그인 연결 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13467","방송 알림 설정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15835","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","22399","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","97288","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","failed","2026-07-01","","","",""
