"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19578","상품 > 상세정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","20109","상품 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","1221","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13675","취소/교환/반품 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","9913","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15092","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6071","1:1 문의하기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6180","거래 증빙 서류 신청/조회 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13324","이용권등록 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6663","좋아요 확인","","2026-06-30","passed","2026-06-30","","","",""
"","7994","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15624","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13410","방송 알림 설정 확인","","2026-06-30","passed","2026-06-30","","","",""
"","19644","상품 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","81","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13657","선물 메시지 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13584","상품평 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13194","GNB 메뉴별 화면 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6881","주문 내역 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13272","알파포인트 확인","","2026-06-30","passed","2026-06-30","","","",""
"","37612","회원 정보 수정 확인","","2026-06-30","failed","2026-06-30","","","",""
"","9342","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15559","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","16413","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6103","공지 사항 확인","","2026-06-30","passed","2026-06-30","","","",""
"","19832","상품 > 좋아요 추가 및 삭제 확인","","2026-06-30","passed","2026-06-30","","","",""
"","270","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6247","기프티쇼 선물함 확인","","2026-06-30","passed","2026-06-30","","","",""
"","13234","장바구니 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14361","환불 계좌 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","16914","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","14891","상품 > 상품평 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15226","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","15488","검색 후 상품 상세 페이지 이동 확인","","2026-06-30","passed","2026-06-30","","","",""
"","6851","배송지 관리 확인","","2026-06-30","passed","2026-06-30","","","",""
"","7758","상품 > 상품문의 탭 노출 확인","","2026-06-30","passed","2026-06-30","","","",""
